PayRunId,PayGroupName,NumEmpl,JobMode,ExecutionTime,JobStatus,QueueTime,StartTime,EndTime
--------,------------,--------,-------,--------------,-------------------,------------------,------------------,----------------
521,performanceTest 20160727214650 (12) 01-00,4000,Calculate,3881,FINISHED,2016-08-05 13:11:01.727,2016-08-05 13:12:16.470,2016-08-05 14:16:57.873
311,performanceTest 20160727214650 (5) 01-00,4000,Calculate,3948,FINISHED,2016-08-05 13:11:01.940,2016-08-05 13:11:02.930,2016-08-05 14:16:50.337
461,performanceTest 20160727214650 (10) 01-00,4000,Calculate,3790,FINISHED,2016-08-05 13:11:01.660,2016-08-05 13:13:25.923,2016-08-05 14:16:35.190
191,performanceTest 20160727214650 (1) 01-00,4000,Calculate,3884,FINISHED,2016-08-05 13:11:01.607,2016-08-05 13:11:25.027,2016-08-05 14:16:09.563
401,performanceTest 20160727214650 (8) 01-00,4000,Calculate,3821,FINISHED,2016-08-05 13:11:02.030,2016-08-05 13:12:16.400,2016-08-05 14:15:57.800
491,performanceTest 20160727214650 (11) 01-00,4000,Calculate,3817,FINISHED,2016-08-05 13:11:01.707,2016-08-05 13:11:40.070,2016-08-05 14:15:17.177
431,performanceTest 20160727214650 (9) 01-00,4000,Calculate,3703,FINISHED,2016-08-05 13:11:02.050,2016-08-05 13:12:52.677,2016-08-05 14:14:35.943
551,performanceTest 20160727214650 (13) 01-00,4000,Calculate,3724,FINISHED,2016-08-05 13:11:01.757,2016-08-05 13:11:49.137,2016-08-05 14:13:53.063
371,performanceTest 20160727214650 (7) 01-00,4000,Calculate,3707,FINISHED,2016-08-05 13:11:01.993,2016-08-05 13:11:11.897,2016-08-05 14:12:58.070
251,performanceTest 20160727214650 (3) 01-00,4000,Calculate,3671,FINISHED,2016-08-05 13:11:01.880,2016-08-05 13:11:11.910,2016-08-05 14:12:22.933
611,performanceTest 20160727214650 (15) 01-00,4000,Calculate,3559,FINISHED,2016-08-05 13:11:01.823,2016-08-05 13:12:52.630,2016-08-05 14:12:11.300
52,performanceTest 20160727214650 (0) 01-00,4000,Calculate,3538,FINISHED,2016-08-05 13:11:01.297,2016-08-05 13:12:52.647,2016-08-05 14:11:50.480
281,performanceTest 20160727214650 (4) 01-00,4000,Calculate,3484,FINISHED,2016-08-05 13:11:01.920,2016-08-05 13:12:52.693,2016-08-05 14:10:56.813
221,performanceTest 20160727214650 (2) 01-00,4000,Calculate,3507,FINISHED,2016-08-05 13:11:01.860,2016-08-05 13:11:49.117,2016-08-05 14:10:16.387
341,performanceTest 20160727214650 (6) 01-00,4000,Calculate,3439,FINISHED,2016-08-05 13:11:01.960,2016-08-05 13:12:16.423,2016-08-05 14:09:35.690
581,performanceTest 20160727214650 (14) 01-00,4000,Calculate,3410,FINISHED,2016-08-05 13:11:01.790,2016-08-05 13:11:40.050,2016-08-05 14:08:30.660


